hmid,cleaned_hm,predicted_output
88305,I spent the weekend in Chicago with my friends.,affection
88306,We moved back into our house after a remodel. We had lived in a hotel for 9 months due to our home being severely damaged in a tornado. ,affection
88307,My fiance proposed to me in front of my family in the beginning of March.,affection
88308,I ate lobster at a fancy restaurant with some friends.,bonding
88309,"I went out to a nice restaurant on a date with my wife. It was a very popular restaurant and we could not get a reservation. But I have a friend who owns a famous hamburger place next door to this restaurant. He was able to get us a table! We had a great table, great service, great food, and they even comped most of our dinner, so we paid almost nothing! ",affection
88310,The Leftovers came back on TV.,achievement
88311,I had a very successful training at work the led to some important people taking notice and me getting a lot of praise for my work.,affection
88312,Happy I was able to buy scrapbook supplies to make my sister in law a book for her shower,affection
88313,I went to a hockey game and we won the game.,bonding
88314,"After I saw my favorite band from Germany in concert, I was able to actually meet them and take a photo with them.",affection
88315,I made my favorite noodle soup which is Tonkotsu ramen.,affection
88316,An event that made me happy was when my sister made cheesy fire tofu and I got to eat two whole plates of it.,affection
88317,"An event that made me happy was talking to a friend who has lymphoma and experienced severe short-term memory loss.  He was able to speak with me very well, better than the last time we talked and he could not follow our conversation.",affection
88318,Getting a new samsung galaxy s8,achievement
88319,I turned 47 in March and my wife threw me a surprise birthday party at my mother in law's house. Friends and family were there and I was very happy and I had a great time.,affection
88320,I was happy my daughter came home for the college.,affection
88321,Finally getting a connecting flight from Dallas to my home after a five-hour delay.,achievement
88322,Happy that my wife can stay home with our kids.,affection
88323,"My nice was born, just yesterday morning at 9am.",affection
88324,A squirrel that I had been feeding finally came up to me and climbed up my pants. ,affection
88325,One such time was in April when I was able to fully pay for my groceries myself without having to rely on someone else.,achievement
88326,I received a good review from my student observations.,achievement
88327,My husband was able to adopt my son last week.,affection
88328,My girlfriend and I managed to solve why our cat kept using the linoleum as a restroom - turns out she was not sick at all! ,achievement
88329,I found a more affordable food for my dogs.  It felt like I was paying more for their food then I was for mine.  I'm happy to save some money.  ,affection
88330,My mother finally being cleared of cancer for now.  The overwhelming feeling of it being over will stay with me for a long time.,affection
88331,Had the most amazing Margarita of my life. MAGIC! ,affection
88332,I was able to sell a stock for almost a 40 percent gain over less than a year,achievement
88333,A professional video game team I watch did really well at a tournament. ,leisure
88334,I moved into a new apartment and was united with my old cat.,affection
88335,I broke my bench press plateau at the gym and started progressing again.,achievement
88336,I was so happy when I had a dinner party a few days ago.,affection
88337,I set up all of my tomato cages.,achievement
88338,"Today I went to my appointment to drop clothing off at the consignment shop and was able to meet with the woman I originally wanted the appointment with. It was effortless, and I got a bonus of being paid for the stuff I sold in cash this time.",achievement
88339,My mom who lives far away mailed me a surprise present.,affection
88340,I met some friends for dinner and drinks followed by watching a live band.,bonding
88341,One event that made me happy was when I got an A on a difficult test.,achievement
88342,"Took a break from work and went outside to a sunny, slightly cool day.",affection
88343,"I was happy because I received a good grade on a test for my English class. English class is hard for me, and that helped me feel better about my english skills. ",achievement
88344,"About a month ago, the weather started getting nice and signs of spring could be seen everywhere.  I remember walking my dog and being really happy just being outside with nice weather and being with my dog.",affection
88345,My Nintendo Switch finally finished being repaired after a month and is being shipped to my house.,achievement
88346,"Yesterday I played a game with some friends, and was complimented on my performance and skill in the game.",bonding
88347,I was very happy when I opened the freezer to find that my husband had bought me my favorite ice cream.,affection
88348,I'm really excited about the pizza I'm going to have tonight.,affection
88349,My partner decided he doesn't need alcohol. I was worried about this.,affection
88350,The weather that day was much nicer than had been forecast. ,affection
88351,I spent some time with a group of friends from work downtown who I hadn't seen in a while. ,bonding
88352,My dog started being hungry again after a few days of low appetite.,affection
88353,"I finally got the chance to buy tickets to see one of my favorite artists, John Mayer, for the first time.",achievement
88354,"My friend is an entertainer who recently got banned from the site he entertains on which is very sad, but unexpectedly the new site he is on is actually better and one of the best things that's happened to his career, hes even more entertaining now its amazing.",affection
88355,Achieved a new fitness goal of mine.,achievement
88356,"I listened to a podcast called the Joe Rogan Experience about health where he interviewed a biologist. It was a 3 hour, fascinating conversation.",affection
88357,Preparing my husband's favorite food makes me happy.,affection
88358,I went to a convention that I was really interested in seeing.,affection
88359,Visiting my new neighbor made me happy.,affection
88360,I found a bunch of new songs that I downloaded and loved and have listened to non-stop the past week.,achievement
88361,I found out I was being nominated for an award at work. ,achievement
88362,I helped my friend learn swimming.,bonding
88363,Getting my dream job of working in a cancer research laboratory.,achievement
88364,I booked a plane ticket to Vietnam.,achievement
88365,It made me happy to wash the mud off my bike and see it clean and shiny.,affection
88366,I went to a doughnut shop that I have been wanting to check out and it was everything that I hoped for and more. The food was delicious and the chai was perfect.,affection
88367,My partner and I were looking at houses to buy and we found one we really liked. ,achievement
88368,Last month I was able to get concert tickets for one of my oldest daughter's favorite bands.,affection
88369,Getting married to my long time girlfriend,affection
88370,"I worked for a lady for the last six months. Now I previously had worked for the same company for 8 years. This lady promised me the world. But she was so controlling. She would text me all day and night about nothing or about work, I think just to see if I would respond. She kept a short leash and a tight grip on me. Well she finally got drunk and sent me a nasty text and I quit. That was a very happy, freeing moment for me. Being able to quit. My husband told me to quit and that added to the happiness.",achievement
88371,I made a funny comic.,affection
88372,"
IELTS Sample Questions

    Reading Sample
        Academic Reading
        GT Reading
    Writing Sample
        Academic Writing Task 1
        GT Writing Task 1
        Writing Task 2
    Listening Sample
    Speaking Sample
    Cue Card Sample

IELTS Preparation

    Reading Preparation
        Academic Reading
        GT Reading
    Writing Preparation
        Academic Writing
            Writing Task 1
            Writing Task 2
        GT Writing
    Listening Preparation
    Speaking Preparation
        Find a Speaking Partner
    IELTS Mock Test

    Sponsored links

IELTS Cue Card Sample 12 - A happy event of your life

    Last Updated: Thursday, 06 October 2016 04:30 
    Written by IELTS Mentor 
    Hits: 38871 

IELTS Speaking Part 2: IELTS Cue Card/ Candidate Task Card.
Describe a happy event of your life.

You should say:

    what it was
    when it happened
    where it happened

and explain why it was a happy event.


Follow-up Questions:
* What do you think is important in achieving happiness?
* How do you celebrate some happy events?
* What do the camera and video play in celebrating?

Possible Answer 1:
I can remember many happy events of my life and out of those, I would like to talk about the event that I can still remember vividly regarding my success in the board exam. The moment I heard that I had been awarded a scholarship based on my performance in the board exam, I became the happiest man in the world. This was indeed a very happy moment for me as it is something I was looking forward to achieving and the news made my parents quite happy and proud.

I spent almost a month with great anxiety regarding my result publication. I started speculating so many things and many of them were negative. I could hardly keep away the tensions about my upcoming result. The result was so important that my college admission would mostly depend on it. I could not sleep well in the night before the result publishing. I think this is a common anxiety for students and I was familiar with this type of anxiety. However, this particular exam results game me more nightmares than any other time of my life. ",achievement
88373,I weighed under 200lbs for the first time in a very long time.,achievement
88374,I paid all my debt.,achievement
88375,I have been working on my running and was recently able to out run my running partners for the first time.,achievement
88376,The sun came out today after days of overcast skies. ,affection
88377,I got a gift from my son.,affection
88378,I was excited and happy when I found out my daughter got engaged.,affection
88379,I got a new videogame from a friend as a gift.,achievement
88380,I ordered bubble tea for lunch. ,affection
88381,I got hired at a new job.,achievement
88382,I got my car back from the detailer and it looks like new!,achievement
88383,"I bought a dozen donuts, more specifically, cronuts.",achievement
88384,I had a lot of good work sent my way.,achievement
88385,I applied for a job I really wanted and got it!  It met all the qualifications I was looking for for a while and so I was very happy indeed.,achievement
88386,School let out early today.,achievement
88388,I purchased new furniture for my bedroom.,achievement
88389,Managed to leave work early today.,achievement
88390,I recently reconnected with an old friend.,bonding
88391,Making money in the stock market ,achievement
88392,I looked at the engagement ring I'm going to propose to my girlfriend with,affection
88393,I got to play ark survival evolved with my girlfriend for the first time,affection
88394,"Just a few days ago, I traveled with my wife to Saginaw, MI, and got to see a couple of friends there.",affection
88395,I left a bad job and found something better,achievement
88396,I moved into a new home with my partner.,affection
88397,"For my brother's birthday party, I made his favorite meal and smoked some delicious ribs.",affection
88398,I received my letter that I was accepted into nursing school.,achievement
88399,Turking enough money to get my kids some birthday presents.,achievement
88400,"It was happened when I was in middle school. It was a beautiful sunny day. I used to go to school at 8 and my school started at 8:30. When school started we learned our lessons. The break time was 10:00. So at the break time we ate our lunch in our class. That day my lunch was very delicious, so I ate very fast. After having lunch I went to the cafeteria as usual with my friends. Our school cafeteria was vey popular and its was famous for it coffee. Just across from the cafeteria the smell of coffee made us want to drink.

As we were close friends, we enjoyed making jokes together. We always teased each other while we are in the way. We all were 5 together; Ye Nandi is tall and slim girl, Aye Myat Khine is very small girl like a Thumbelina, Sett Lett Kg is a beautiful girl, May Chen is a cute girl, and I. On that day May Chen teased me all that way to the cafeteria. She still teasing me when we got to the cafeteria. When we got there we bought some snacks and drinks for us and looked around the cafeteria. We chatted with the other friends also. At that time the thing I had never expected to me. That was my friend, May Chen, teased me again and unfortunately my Longyi fall down. Longyi is our traditional skirt. The cloth is often sewn into a cylindrical shape. It is worn around the waist, running to the feet. It is held in place by folding fabric over, without a knot. It is also sometimes folded up to the knee for comfort. Similar garments are found in India, Bangladesh, Sri Lanka, the Malay Archipelago, and Juiz de Fora. Everyone was looking at me and laughing at me. At that time I don't know what I have to do. My face was red like a tomato because of my shyness. So I picked up my Longyi and dressed up my self and run straight to the class and cried a lot.",affection
88401,"I got a new job. It was one of the first few that I had applied for, and I was proud of myself for being hired so quickly. It gave me a sense of accomplishment and that I was intelligent and that someone could recognize my talents.",achievement
88402,The weather was wonderful and I was able to fully immerse myself in it for a while.,achievement
88403,"My girlfriend came ot my house,a after buying me food, and just slept on my lap. It was really nice.",affection
88404,After months of research I finally figured out a program that was giving everyone problems at work.,achievement
88405,I found out that I was going to Amsterdam in the Fall,achievement
88406,I drank alcohol to numb my problems. ,achievement
88407,I was very happy when my daughter returned from a trip out of the US!,affection
88408,My old coworker came by my office today to meet for a few hours. It was so nice to see her because we don't see each much now since she changed jobs. It was a fun meeting and I am very happy it happened.,affection
88409,"Well, it might be kind of small, but my daughter just received an award for graphic design last week.",achievement
88410,I read a new book by my favorite author.,leisure
88411,I found a good midwife who does not charge extra for VBACs.,achievement
88412,Went to my friends surprise birthday party,bonding
88413,I went to the gym and had a good workout.,exercise
88414,My dog had puppies!,affection
88415,I was happy when I beat my coworker at ping pong,achievement
88416,What made me happy was going to the local Saint Patricks' Day parade with family and watching my little brother walk in the parade all dressed up.  ,affection
88417,"My son and his family came to visit us today, they live on the other side of the state, so we don't get to see them very often.",affection
88418,I played frisbee golf with my good friends.,bonding
88419,"I went to the gym today and got a lot of miles in, and it feels so good to walk and run it out.",exercise
88420,Our cleaning people put the special new red sheets on my son's bed.,affection
88421,I finally fixed my bike after months of it not working correctly. ,achievement
88422,"Today's the day of a new league starting on Magic the Gathering Online, an event I've been looking forward to for about a week now.",achievement
88423,Last week I got a clean bill of health from the doctor after my yearly check up.,achievement
88424,I had a delicious BBQ chicken pizza,affection
88425,I was told that I would eventually be promoted to Underwriter Assistant within a year.,achievement
88426,Played with my cat for 20 minutes.,affection
88427,After I cooked a meal for 65 staff members at my daughters school that everyone seemed to enjoy and complemented me on I was very happy. ,affection
88428,Went for a walk with my friends,bonding
88429,I was given an enamel pin that I had been wanting for a long time as a gift from a friend.,affection
88430,Library cooking class ,achievement
88431,I finally got some much needed repairs to my van completed.,achievement
88432,I did some work on a short story. ,achievement
88433,I was very happy because all three of my children made the honor roll last quarter by getting A's in all their classes.,affection
88434,I talked to my best friend on the phone,bonding
88435,I celebrated my mom's birthday last Sunday. We went to eat seafood. We had a great time listening to live music. Had a few beers. ,affection
